iter	MultiClass
0	1.360320564
1	1.340839931
2	1.319811632
3	1.298462786
4	1.279412237
5	1.25929803
6	1.240563122
7	1.224011917
8	1.205890742
9	1.186226762
10	1.167654923
11	1.152081149
12	1.139627787
13	1.127999589
14	1.111786705
15	1.099617906
16	1.084585933
17	1.071936023
18	1.062686303
19	1.050463907
20	1.037279555
21	1.025844539
22	1.011471314
23	0.9997620618
24	0.9919430737
25	0.9841338375
26	0.9739391245
27	0.9622310858
28	0.9526260336
29	0.9431390181
30	0.9334087737
31	0.928429443
32	0.9195276867
33	0.9104246986
34	0.9019619358
35	0.8960367985
36	0.8867362654
37	0.880478202
38	0.8719386011
39	0.8661852183
40	0.8576619182
41	0.849778659
42	0.8442014171
43	0.8358601468
44	0.828720334
45	0.8214900855
46	0.815313304
47	0.8066316926
48	0.8009705517
49	0.7940802309
50	0.7861988067
51	0.7809625319
52	0.776121705
53	0.7714546621
54	0.7687743349
55	0.7633921892
56	0.7593393996
57	0.751338402
58	0.7449201582
59	0.7392510962
60	0.7347796731
61	0.7303693162
62	0.7238895021
63	0.7168527178
64	0.7135148629
65	0.7093212707
66	0.704556952
67	0.6974710044
68	0.6930672917
69	0.6892334
70	0.684476958
71	0.6798996966
72	0.6741117515
73	0.6683568913
74	0.6640942544
75	0.6599086589
76	0.6564049622
77	0.6515822311
78	0.6476459512
79	0.6448565624
80	0.6418019683
81	0.6369850087
82	0.6343505221
83	0.6306944552
84	0.6269418776
85	0.6232332094
86	0.6187418814
87	0.6148420937
88	0.6103585834
89	0.607000603
90	0.6035775785
91	0.5987412455
92	0.5940107537
93	0.5912643672
94	0.5864578238
95	0.583686718
96	0.5801449316
97	0.575580659
98	0.5724945894
99	0.5687857573
100	0.5641039513
101	0.560673236
102	0.5569625382
103	0.554490377
104	0.5503477609
105	0.5459723762
106	0.5434684143
107	0.5390912263
108	0.5365546086
109	0.532708159
110	0.5288003
111	0.5264994924
112	0.5249621686
113	0.5220330665
114	0.5181513144
115	0.5151616945
116	0.5126937061
117	0.5099501932
118	0.5076191107
119	0.5034859298
120	0.5023945318
121	0.4984796999
122	0.4960098652
123	0.492101466
124	0.4908475847
125	0.4890263043
126	0.4848987665
127	0.4832461922
128	0.4800618634
129	0.4777167005
130	0.4757491278
131	0.4737887827
132	0.4707602877
133	0.4678825316
134	0.4663554077
135	0.4641807058
136	0.4613093003
137	0.4582757011
138	0.4553606671
139	0.4530404704
140	0.4503936596
141	0.4492722094
142	0.4460483214
143	0.4440598477
144	0.442140831
145	0.4394263465
146	0.4370340521
147	0.4359281055
148	0.4335833929
149	0.4320939854
150	0.4304880194
151	0.4283382188
152	0.425964116
153	0.4236614658
154	0.4217894934
155	0.419121407
156	0.4171185107
157	0.4157443755
158	0.4140531359
159	0.4119727516
160	0.4090535235
161	0.4083017773
162	0.4059331809
163	0.4048389107
164	0.4026690625
165	0.4012121127
166	0.3987750382
167	0.3966589792
168	0.3957668895
169	0.394038783
170	0.3925374453
171	0.3897955915
172	0.3887441129
173	0.3866982209
174	0.3847499336
175	0.3834812976
176	0.3820269497
177	0.380494694
178	0.3794781004
179	0.3774404656
180	0.3753059776
181	0.3743974316
182	0.3725922027
183	0.3704079359
184	0.3689058267
185	0.3673976942
186	0.364736243
187	0.3629597867
188	0.3611324845
189	0.3598654033
190	0.3582098517
191	0.356263189
192	0.3545400989
193	0.3531158783
194	0.3518438764
195	0.3508997337
196	0.3485556553
197	0.3471052378
198	0.3458033427
199	0.3452335561
200	0.3427979387
201	0.3407469786
202	0.3398267571
203	0.3389937636
204	0.3377161894
205	0.336349933
206	0.3345573766
207	0.3332442901
208	0.3321512362
209	0.3300002705
210	0.3278175915
211	0.326851617
212	0.3254355262
213	0.3238140282
214	0.3219048236
215	0.3207142895
216	0.3195805285
217	0.3187853109
218	0.3170501193
219	0.3159014513
220	0.3138186251
221	0.3127950894
222	0.3121209907
223	0.3112429655
224	0.309310021
225	0.3079939274
226	0.3071796841
227	0.3060040449
228	0.3050781294
229	0.3036085925
230	0.302264187
231	0.3011999535
232	0.300341959
233	0.2996157977
234	0.2979900153
235	0.296732122
236	0.2955600574
237	0.2941241609
238	0.2925191087
239	0.2911324391
240	0.2897148346
241	0.2887417553
242	0.2877869342
243	0.287006857
244	0.285912021
245	0.2849178969
246	0.2833971657
247	0.2819186097
248	0.2812456726
249	0.2802908255
250	0.2791849412
251	0.2784353207
252	0.2769386055
253	0.2758830706
254	0.2742559177
255	0.2732541037
256	0.271898694
257	0.2703215772
258	0.2695393999
259	0.2686751387
260	0.2675420431
261	0.2667747037
262	0.266340214
263	0.2653927587
264	0.2642721884
265	0.2633929572
266	0.261916806
267	0.2607380087
268	0.259944247
269	0.2594321451
270	0.2583401936
271	0.256873253
272	0.2557476281
273	0.2546399834
274	0.2534880387
275	0.2522525068
276	0.2509785347
277	0.2499645932
278	0.2490775657
279	0.2476018332
280	0.2472339435
281	0.245962759
282	0.245040182
283	0.2439987111
284	0.2432803759
285	0.2420622802
286	0.2411673335
287	0.2398282616
288	0.2391252398
289	0.2374732631
290	0.2366920402
291	0.2357303651
292	0.2344992658
293	0.2331924344
294	0.2325580506
295	0.2314720816
296	0.2303032889
297	0.2293525187
298	0.2284708022
299	0.2278423656
300	0.227025421
301	0.2260645495
302	0.2253307295
303	0.2243927688
304	0.2239313135
305	0.2231958758
306	0.2225638186
307	0.2217294984
308	0.2204996947
309	0.2195055508
310	0.2189322904
311	0.2182445401
312	0.2177191264
313	0.2166287955
314	0.2157757087
315	0.2145323608
316	0.2134579271
317	0.2127297526
318	0.2122240593
319	0.2117866809
320	0.2112357753
321	0.2107160257
322	0.2100716585
323	0.209648177
324	0.2088524205
325	0.2079193231
326	0.2070443668
327	0.2059697855
328	0.2055169715
329	0.204467201
330	0.2034791929
331	0.2025286701
332	0.2017074824
333	0.2009789485
334	0.2007518801
335	0.1999593178
336	0.199293922
337	0.1985398108
338	0.1981335999
339	0.1975403153
340	0.1971741027
341	0.1965354326
342	0.1958041406
343	0.1949282331
344	0.1939884709
345	0.1933241568
346	0.1925413952
347	0.1918520539
348	0.1912314486
349	0.1904672487
350	0.1895452027
351	0.1893098883
352	0.1887080212
353	0.1880196871
354	0.1876033074
355	0.18727311
356	0.1869500957
357	0.1862107611
358	0.1858998931
359	0.1855948836
360	0.1850672709
361	0.1841460501
362	0.1832344427
363	0.1827131559
364	0.1820605233
365	0.1814634696
366	0.1806717231
367	0.1798101148
368	0.1794755871
369	0.1791875904
370	0.1787163284
371	0.1781813092
372	0.1772425234
373	0.177042256
374	0.1762698868
375	0.1758874202
376	0.1754468523
377	0.1747913972
378	0.1744219105
379	0.173990257
380	0.1734446811
381	0.1729336931
382	0.1721996583
383	0.1715081701
384	0.171177722
385	0.1707568735
386	0.1704525335
387	0.1699610991
388	0.1692696135
389	0.1687589137
390	0.1680208128
391	0.1678079333
392	0.1674454737
393	0.1669859776
394	0.1665160516
395	0.1660194302
396	0.1655267163
397	0.1650318076
398	0.1648087127
399	0.1644698373
400	0.1639838413
401	0.163868019
402	0.1635459976
403	0.1630702029
404	0.1627453535
405	0.1625032304
406	0.1619633959
407	0.1614497064
408	0.160903205
409	0.1603533793
410	0.1597724343
411	0.1592303353
412	0.1589881209
413	0.1585016127
414	0.1579693428
415	0.1574160538
416	0.1571420625
417	0.1564666574
418	0.156145596
419	0.1556605712
420	0.1553591127
421	0.1549292679
422	0.1545334645
423	0.1540427371
424	0.1535858684
425	0.1532329297
426	0.1528632458
427	0.1525585999
428	0.1521473107
429	0.1519283266
430	0.151618654
431	0.1511378713
432	0.1507875942
433	0.1505412042
434	0.1501266466
435	0.1497227602
436	0.149442638
437	0.1491372035
438	0.1486983848
439	0.1482571594
440	0.147922787
441	0.147389691
442	0.1467126205
443	0.1460456573
444	0.1454678869
445	0.1451529155
446	0.1446688717
447	0.1441488798
448	0.1436484494
449	0.1430961826
450	0.1426295774
451	0.1422145358
452	0.1416801777
453	0.1412691805
454	0.1407778966
455	0.1404090062
456	0.140167569
457	0.1396641151
458	0.1394192948
459	0.1388797217
460	0.1386269705
461	0.1382183256
462	0.1376942561
463	0.1372952865
464	0.1367883782
465	0.1362401591
466	0.1360001624
467	0.1356727445
468	0.1352909552
469	0.1350766671
470	0.1347271975
471	0.1343617287
472	0.1338637264
473	0.1333867513
474	0.1332431991
475	0.132927348
476	0.132434655
477	0.1321062581
478	0.1316574865
479	0.131340621
480	0.131038692
481	0.1307474136
482	0.130396574
483	0.1300333895
484	0.1294281135
485	0.1290201662
486	0.1286658719
487	0.1282983949
488	0.1280277549
489	0.1277301387
490	0.1274816074
491	0.1269846395
492	0.126754708
493	0.1266308413
494	0.1264014475
495	0.1261423719
496	0.1259625547
497	0.1254057634
498	0.1249472591
499	0.1244639683
500	0.1241895948
501	0.1238544622
502	0.1234271888
503	0.1231209385
504	0.1228469032
505	0.1223912424
506	0.1219999923
507	0.1216188453
508	0.1213311943
509	0.1209364318
510	0.1208067926
511	0.1204139719
512	0.1201448306
513	0.1199781307
514	0.1197086106
515	0.119378795
516	0.1191418954
517	0.1189025173
518	0.1186859342
519	0.11848332
520	0.1182063748
521	0.1178399544
522	0.117481473
523	0.117270989
524	0.1169891322
525	0.1167340765
526	0.1163980414
527	0.116139695
528	0.1159014395
529	0.1153508175
530	0.1151732863
531	0.1150043536
532	0.1147210404
533	0.114532622
534	0.1143353987
535	0.1140737246
536	0.1137645188
537	0.1135359114
538	0.113179403
539	0.1128847648
540	0.1125826295
541	0.1123205654
542	0.1119252464
543	0.1115349024
544	0.1112903445
545	0.111165201
546	0.1110489888
547	0.1107216955
548	0.1103425445
549	0.1100890794
550	0.1098369997
551	0.1095472928
552	0.1092422766
553	0.1090393449
554	0.1089468541
555	0.1085733857
556	0.1084065354
557	0.1081786205
558	0.1079808345
559	0.1076397857
560	0.1074221498
561	0.1070379823
562	0.1069054047
563	0.1066201963
564	0.1064067811
565	0.1061361636
566	0.1059781936
567	0.1057403768
568	0.1054421657
569	0.1051238699
570	0.1048095464
571	0.1044630347
572	0.1042269228
573	0.1038116911
574	0.1036429448
575	0.1034664561
576	0.1032644989
577	0.1029388211
578	0.1026716429
579	0.1024624598
580	0.1021961731
581	0.1019798144
582	0.101764007
583	0.1016282419
584	0.1013470712
585	0.1010694888
586	0.1008902402
587	0.1008027765
588	0.1004976399
589	0.1003310563
590	0.1001086381
591	0.1000144246
592	0.09979586183
593	0.09956259356
594	0.09940696268
595	0.09923066111
596	0.09903287233
597	0.09880681405
598	0.09865612022
599	0.09831421469
600	0.09813972539
601	0.09794389074
602	0.09775132265
603	0.09761411219
604	0.09742363758
605	0.09727061583
606	0.09706927665
607	0.0968201255
608	0.09650733494
609	0.09632957702
610	0.09593028316
611	0.09573035422
612	0.09550299846
613	0.0952163452
614	0.09508395341
615	0.0949267191
616	0.09471482384
617	0.09445800611
618	0.09430646394
619	0.09409266643
620	0.09392107886
621	0.09372529688
622	0.09352924151
623	0.09329878701
624	0.09305201704
625	0.09282313911
626	0.09256236464
627	0.09240468377
628	0.09228944527
629	0.09218665904
630	0.09193554726
631	0.09179410732
632	0.09157182377
633	0.09127168215
634	0.09099189507
635	0.0908332408
636	0.09076930679
637	0.09058589506
638	0.09034594183
639	0.09025523848
640	0.09002418038
641	0.08985729936
642	0.08971995579
643	0.08958891698
644	0.08941310023
645	0.08915641185
646	0.08897660636
647	0.08888682887
648	0.08861783726
649	0.08849412897
650	0.08836485412
651	0.08822502834
652	0.08810769598
653	0.08796313339
654	0.08775615253
655	0.08745557273
656	0.0873451826
657	0.08725878677
658	0.08696631685
659	0.08680726314
660	0.08661100796
661	0.08641876899
662	0.0863452922
663	0.08609659503
664	0.08593196688
665	0.08583367173
666	0.08565244596
667	0.08538760321
668	0.08527261622
669	0.08515690551
670	0.08491420864
671	0.08465088823
672	0.08445302006
673	0.08427217476
674	0.0840861105
675	0.08386000072
676	0.08365006642
677	0.0834429561
678	0.08332683724
679	0.08323958747
680	0.08303632456
681	0.08280829932
682	0.08258648864
683	0.08246440409
684	0.08223851517
685	0.08205657414
686	0.08200252971
687	0.08188247614
688	0.08176361156
689	0.08145402706
690	0.08135055155
691	0.08118797775
692	0.08106225219
693	0.08092387383
694	0.08074980574
695	0.08058828586
696	0.08037751006
697	0.08021667304
698	0.08006655804
699	0.07984610219
700	0.07976840229
701	0.07963267765
702	0.07954620291
703	0.07934621984
704	0.07920932869
705	0.07903920149
706	0.07895905256
707	0.07887700806
708	0.078770501
709	0.07864679683
710	0.07848449227
711	0.07829463834
712	0.07821612611
713	0.07802614265
714	0.07787730823
715	0.07780293121
716	0.07760681438
717	0.07746249971
718	0.07732193178
719	0.07724582489
720	0.07709448733
721	0.07693335066
722	0.07672579101
723	0.076564985
724	0.07634010503
725	0.07618580628
726	0.07599367772
727	0.07580254824
728	0.07572297571
729	0.07561796889
730	0.0755066393
731	0.07543605397
732	0.07526953497
733	0.07513628923
734	0.07499286886
735	0.07478817606
736	0.07469873386
737	0.0745395256
738	0.07439198767
739	0.07429591506
740	0.07419392293
741	0.07410323968
742	0.07396814974
743	0.07385504112
744	0.07369172716
745	0.07355588919
746	0.07341651731
747	0.07320421824
748	0.07304221318
749	0.07293358354
750	0.07284247009
751	0.07274949781
752	0.07256686287
753	0.07241012407
754	0.0722958615
755	0.07212291656
756	0.07204763565
757	0.07190895803
758	0.07179226511
