iter	Passed	Remaining
0	71	71545
1	75	37643
2	78	26197
3	82	20420
4	86	17182
5	90	14959
6	93	13265
7	96	11991
8	99	11002
9	103	10268
10	107	9644
11	112	9236
12	115	8738
13	117	8308
14	121	7949
15	124	7654
16	127	7390
17	131	7164
18	134	6949
19	138	6786
20	143	6669
21	148	6593
22	151	6419
23	153	6260
24	156	6120
25	160	6003
26	163	5898
27	167	5799
28	170	5710
29	173	5608
30	176	5511
31	179	5434
32	182	5352
33	186	5287
34	189	5227
35	192	5164
36	195	5097
37	199	5047
38	203	5013
39	206	4954
40	209	4896
41	212	4837
42	215	4786
43	218	4748
44	221	4696
45	224	4649
46	227	4604
47	229	4559
48	232	4517
49	236	4493
50	239	4458
51	242	4422
52	246	4400
53	249	4369
54	250	4306
55	254	4291
56	257	4267
57	261	4242
58	264	4214
59	267	4188
60	271	4172
61	274	4149
62	278	4136
63	281	4119
64	284	4096
65	288	4080
66	291	4065
67	295	4043
68	298	4027
69	301	4010
70	305	3993
71	309	3993
72	312	3973
73	316	3956
74	319	3939
75	322	3919
76	326	3912
77	329	3899
78	333	3883
79	336	3864
80	338	3846
81	342	3833
82	345	3820
83	349	3807
84	353	3801
85	356	3786
86	359	3769
87	363	3763
88	366	3747
89	369	3732
90	372	3718
91	375	3702
92	378	3690
93	383	3692
94	386	3685
95	389	3672
96	392	3658
97	396	3644
98	401	3652
99	404	3644
100	408	3634
101	411	3621
102	415	3614
103	418	3601
104	421	3591
105	424	3581
106	427	3567
107	430	3555
108	433	3545
109	437	3538
110	440	3531
111	443	3519
112	446	3506
113	449	3494
114	452	3484
115	456	3481
116	460	3472
117	462	3459
118	465	3448
119	468	3437
120	473	3437
121	476	3431
122	479	3419
123	482	3409
124	485	3400
125	489	3393
126	492	3384
127	495	3373
128	498	3363
129	501	3353
130	503	3342
131	507	3335
132	510	3326
133	513	3317
134	516	3307
135	519	3297
136	521	3287
137	525	3283
138	528	3273
139	531	3265
140	534	3256
141	537	3247
142	540	3237
143	543	3231
144	546	3223
145	549	3214
146	552	3205
147	555	3197
148	558	3188
149	562	3185
150	565	3178
151	568	3169
152	571	3161
153	574	3154
154	578	3152
155	581	3146
156	584	3140
157	588	3133
158	590	3125
159	593	3118
160	597	3111
161	600	3107
162	603	3100
163	606	3093
164	609	3084
165	612	3074
166	615	3068
167	618	3060
168	621	3054
169	624	3046
170	626	3038
171	629	3030
172	632	3022
173	635	3014
174	638	3008
175	641	3002
176	644	2994
177	646	2986
178	649	2979
179	652	2974
180	655	2967
181	659	2962
182	662	2956
183	665	2952
184	668	2946
185	672	2941
186	674	2934
187	678	2932
188	681	2925
189	684	2918
190	687	2912
191	691	2908
192	694	2902
193	697	2895
194	701	2893
195	703	2887
196	707	2883
197	710	2878
198	713	2871
199	716	2865
200	719	2860
201	722	2854
202	725	2847
203	728	2841
204	731	2836
205	734	2830
206	737	2825
207	740	2820
208	743	2814
209	746	2808
210	749	2803
211	752	2797
212	755	2792
213	759	2788
214	761	2781
215	765	2778
216	769	2777
217	772	2771
218	775	2766
219	779	2763
220	782	2757
221	784	2750
222	788	2746
223	791	2741
224	794	2735
225	797	2731
226	800	2726
227	803	2721
228	806	2715
229	810	2712
230	813	2707
231	816	2703
232	819	2698
233	822	2693
234	826	2689
235	829	2685
236	832	2680
237	835	2675
238	839	2674
239	843	2671
240	846	2667
241	850	2664
242	854	2661
243	859	2663
244	864	2663
245	868	2661
246	874	2666
247	877	2660
248	880	2655
249	883	2651
250	887	2649
251	891	2645
252	894	2639
253	897	2635
254	900	2630
255	904	2629
256	907	2624
257	911	2620
258	914	2614
259	917	2611
260	921	2608
261	924	2603
262	927	2598
263	930	2593
264	934	2593
265	938	2588
266	941	2583
267	943	2578
268	947	2574
269	951	2572
270	954	2568
271	958	2564
272	961	2561
273	966	2561
274	970	2557
275	972	2552
276	975	2547
277	979	2544
278	984	2543
279	986	2537
280	989	2532
281	992	2527
282	996	2524
283	999	2520
284	1002	2515
285	1005	2510
286	1008	2505
287	1012	2503
288	1015	2498
289	1018	2494
290	1021	2489
291	1024	2483
292	1028	2481
293	1031	2477
294	1034	2472
295	1037	2467
296	1040	2462
297	1044	2461
298	1047	2456
299	1051	2452
300	1054	2449
301	1058	2446
302	1061	2442
303	1065	2438
304	1068	2433
305	1070	2428
306	1074	2425
307	1077	2421
308	1080	2416
309	1083	2412
310	1086	2407
311	1091	2405
312	1094	2401
313	1097	2397
314	1100	2392
315	1103	2388
316	1107	2386
317	1110	2381
318	1113	2376
319	1116	2372
320	1119	2367
321	1123	2364
322	1126	2360
323	1128	2355
324	1131	2350
325	1134	2346
326	1138	2343
327	1142	2340
328	1145	2335
329	1147	2330
330	1152	2330
331	1157	2329
332	1161	2326
333	1166	2325
334	1173	2329
335	1177	2326
336	1180	2322
337	1184	2320
338	1192	2325
339	1200	2330
340	1208	2334
341	1213	2334
342	1217	2332
343	1224	2335
344	1229	2334
345	1233	2331
346	1238	2330
347	1243	2328
348	1248	2328
349	1253	2327
350	1257	2326
351	1262	2324
352	1266	2321
353	1271	2319
354	1275	2317
355	1279	2313
356	1283	2310
357	1287	2308
358	1291	2305
359	1294	2301
360	1298	2298
361	1302	2295
362	1306	2292
363	1309	2288
364	1313	2285
365	1317	2282
366	1321	2279
367	1324	2274
368	1327	2270
369	1332	2268
370	1335	2264
371	1339	2260
372	1342	2256
373	1346	2253
374	1351	2252
375	1355	2249
376	1358	2245
